end_to_end,file
32.87921905517578,sr_379
22.94681739807129,sr_157
73.91907501220703,sr_272
62.764156341552734,sr_268
74.78375244140625,sr_041
33.96992492675781,sr_306
46.52043533325195,sr_239
78.02851867675781,sr_103
71.25456237792969,sr_308
22.114194869995117,sr_328
23.559038162231445,sr_167
76.65721893310547,sr_216
78.4021987915039,sr_182
63.851741790771484,sr_390
96.37091064453125,sr_309
58.3855094909668,sr_059
48.730289459228516,sr_489
45.77934646606445,sr_134
78.71617889404297,sr_292
62.59895706176758,sr_452
78.09992980957031,sr_233
75.92235565185547,sr_132
66.85923767089844,sr_355
74.90361785888672,sr_219
30.362041473388672,sr_095
25.109790802001953,sr_445
93.82404327392578,sr_106
42.64212417602539,sr_459
60.73585510253906,sr_052
20.849042892456055,sr_019
52.0296630859375,sr_486
63.28956985473633,sr_171
75.34342956542969,sr_303
71.42413330078125,sr_199
23.003976821899414,sr_336
67.6966552734375,sr_150
67.5804214477539,sr_441
100.90469360351562,sr_264
66.55752563476562,sr_176
40.70021438598633,sr_299
19.936063766479492,sr_004
17.2536563873291,sr_352
30.063432693481445,sr_430
55.52994155883789,sr_427
25.65729331970215,sr_128
35.78043746948242,sr_457
29.414016723632812,sr_314
59.346012115478516,sr_475
43.13494873046875,sr_186
44.42919158935547,sr_129
50.004703521728516,sr_380
66.03934478759766,sr_159
17.379802703857422,sr_139
77.16677856445312,sr_257
74.53128814697266,sr_402
51.58175277709961,sr_243
62.85449981689453,sr_075
66.06877136230469,sr_235
30.66236114501953,sr_212
77.05254364013672,sr_008
50.969017028808594,sr_474
77.38591766357422,sr_495
21.48736000061035,sr_026
27.896135330200195,sr_087
16.793203353881836,sr_024
58.94430923461914,sr_144
60.0213623046875,sr_294
20.96347427368164,sr_415
15.939000129699707,sr_381
60.26951217651367,sr_447
28.018077850341797,sr_047
71.2691421508789,sr_040
69.23271942138672,sr_484
50.615997314453125,sr_418
65.9063720703125,sr_141
25.934673309326172,sr_276
33.38768005371094,sr_156
30.651477813720703,sr_205
49.97160720825195,sr_438
51.042579650878906,sr_038
32.372406005859375,sr_063
69.13115692138672,sr_446
29.937131881713867,sr_377
32.480995178222656,sr_102
31.48723602294922,sr_002
97.59979248046875,sr_443
82.24044799804688,sr_100
97.22230529785156,sr_464
58.492496490478516,sr_084
38.45523452758789,sr_375
33.68001174926758,sr_476
23.84498405456543,sr_280
68.65785217285156,sr_348
55.895957946777344,sr_444
32.73201370239258,sr_432
72.720458984375,sr_113
49.794189453125,sr_420
53.05741500854492,sr_254
28.575462341308594,sr_408
31.008447647094727,sr_465
60.074501037597656,sr_218
63.280757904052734,sr_282
44.17969512939453,sr_477
56.989864349365234,sr_108
72.08290100097656,sr_111
23.616567611694336,sr_033
23.419618606567383,sr_383
54.04350280761719,sr_201
84.5762939453125,sr_112
63.69417190551758,sr_356
18.388336181640625,sr_001
76.46063995361328,sr_238
71.84844970703125,sr_374
32.26484298706055,sr_189
23.262853622436523,sr_436
29.54353904724121,sr_478
28.166635513305664,sr_337
60.65670394897461,sr_419
57.67622756958008,sr_255
28.445383071899414,sr_389
