end_to_end,file
43.54596710205078,dr_308
66.79625701904297,dr_086
48.95299530029297,dr_403
53.25404739379883,dr_284
37.452842712402344,dr_103
71.7060317993164,dr_342
67.2789306640625,dr_230
66.84852600097656,dr_167
35.83942794799805,dr_312
43.9747200012207,dr_067
43.674522399902344,dr_168
49.386478424072266,dr_268
39.46086120605469,dr_137
53.51420974731445,dr_380
70.60990905761719,dr_277
46.64024353027344,dr_357
51.126346588134766,dr_263
37.3652458190918,dr_155
45.88600540161133,dr_372
36.72111511230469,dr_273
64.75138092041016,dr_075
43.28729248046875,dr_016
66.82801818847656,dr_289
69.23078155517578,dr_098
44.43363571166992,dr_475
71.63798522949219,dr_352
37.53911209106445,dr_129
37.24248504638672,dr_450
35.69831466674805,dr_048
66.14463806152344,dr_415
44.172149658203125,dr_420
38.32863235473633,dr_203
35.307796478271484,dr_148
55.2258186340332,dr_024
68.6517333984375,dr_051
40.43643569946289,dr_285
40.32252883911133,dr_206
67.20943450927734,dr_044
36.574222564697266,dr_149
39.412803649902344,dr_059
67.98170471191406,dr_443
51.19560623168945,dr_389
66.94267272949219,dr_201
43.83726119995117,dr_185
36.889259338378906,dr_484
69.3917007446289,dr_218
38.22475814819336,dr_184
51.79022216796875,dr_468
70.53909301757812,dr_158
34.41166687011719,dr_435
33.835262298583984,dr_039
36.249210357666016,dr_428
47.21470260620117,dr_471
44.52751922607422,dr_257
43.882164001464844,dr_314
40.31153869628906,dr_478
37.38675308227539,dr_234
32.150325775146484,dr_396
67.93760681152344,dr_316
65.74681854248047,dr_214
50.648040771484375,dr_253
70.32843780517578,dr_430
69.82495880126953,dr_091
68.83255767822266,dr_409
42.3036994934082,dr_400
41.23936080932617,dr_156
40.14547348022461,dr_441
32.95603561401367,dr_216
47.967769622802734,dr_359
70.09349060058594,dr_426
36.7617073059082,dr_009
66.0347671508789,dr_095
35.09744644165039,dr_319
37.763919830322266,dr_418
71.15418243408203,dr_431
47.964481353759766,dr_068
46.2978630065918,dr_100
46.366600036621094,dr_371
65.89242553710938,dr_286
41.33747100830078,dr_053
42.09933090209961,dr_440
72.54034423828125,dr_402
43.424808502197266,dr_105
42.97896957397461,dr_085
66.79936218261719,dr_391
44.458152770996094,dr_021
43.641971588134766,dr_017
50.286930084228516,dr_433
68.11944580078125,dr_343
54.0409049987793,dr_300
19.81113052368164,dr_195
52.243534088134766,dr_327
39.69826126098633,dr_092
32.09429931640625,dr_292
42.56801986694336,dr_479
71.89644622802734,dr_378
71.57193756103516,dr_280
70.14948272705078,dr_315
34.0499382019043,dr_463
68.9646224975586,dr_140
44.6361198425293,dr_375
57.24057388305664,dr_018
37.624900817871094,dr_135
69.84776306152344,dr_470
70.07260131835938,dr_107
42.950191497802734,dr_125
65.5487060546875,dr_157
46.25078201293945,dr_299
68.67999267578125,dr_458
38.53766632080078,dr_492
47.165550231933594,dr_260
52.41924285888672,dr_485
46.50693130493164,dr_410
61.58811950683594,dr_118
66.83512878417969,dr_476
67.63494873046875,dr_373
51.0299072265625,dr_225
39.25603103637695,dr_124
57.562744140625,dr_076
69.71070098876953,dr_089
41.062705993652344,dr_358
66.48541259765625,dr_283
67.84148406982422,dr_313
48.05462646484375,dr_482
20.170015335083008,dr_020
47.55961608886719,dr_205
65.06421661376953,dr_324
43.62925338745117,dr_290
43.91293716430664,dr_132
39.733253479003906,dr_392
38.96358871459961,dr_274
38.02714538574219,dr_355
52.51197052001953,dr_353
70.21142578125,dr_302
66.37126922607422,dr_189
47.73128890991211,dr_238
51.2969856262207,dr_123
41.627296447753906,dr_235
51.42279815673828,dr_213
67.59246826171875,dr_271
71.66822052001953,dr_055
61.793861389160156,dr_143
70.13307189941406,dr_036
68.99882507324219,dr_159
48.5883674621582,dr_477
56.16088104248047,dr_344
39.55094528198242,dr_437
38.461551666259766,dr_339
67.77396392822266,dr_346
68.30086517333984,dr_176
33.95902633666992,dr_090
38.16535186767578,dr_008
58.68339920043945,dr_236
65.57396697998047,dr_322
47.96830368041992,dr_261
36.45014572143555,dr_406
33.21749496459961,dr_374
38.475772857666016,dr_014
67.36126708984375,dr_210
34.78097152709961,dr_427
40.54800033569336,dr_081
41.62009811401367,dr_028
52.89147186279297,dr_030
41.349788665771484,dr_381
70.91804504394531,dr_340
75.5090103149414,dr_361
40.6945686340332,dr_454
69.30030822753906,dr_152
35.13463592529297,dr_050
51.776859283447266,dr_188
45.436683654785156,dr_193
69.42156982421875,dr_472
46.9418830871582,dr_398
71.07023620605469,dr_087
37.60539627075195,dr_282
67.14934539794922,dr_387
49.34468460083008,dr_035
37.41169357299805,dr_062
48.23102569580078,dr_012
43.536399841308594,dr_191
47.32683181762695,dr_416
45.781192779541016,dr_003
41.334228515625,dr_288
39.15966033935547,dr_367
46.71562957763672,dr_032
38.34886169433594,dr_451
41.70500946044922,dr_407
68.6166000366211,dr_121
67.46098327636719,dr_417
69.3391342163086,dr_060
65.54816436767578,dr_019
46.01219177246094,dr_025
48.48289108276367,dr_111
49.636226654052734,dr_413
68.9063949584961,dr_063
47.022132873535156,dr_011
38.58229064941406,dr_295
64.4765396118164,dr_112
42.944522857666016,dr_171
69.47450256347656,dr_026
41.091800689697266,dr_262
68.75569152832031,dr_360
44.9679069519043,dr_161
39.96444320678711,dr_363
24.89978790283203,dr_146
42.46001434326172,dr_109
66.11505126953125,dr_046
69.78361511230469,dr_170
48.349708557128906,dr_445
41.8776741027832,dr_219
43.76643753051758,dr_147
44.44490432739258,dr_338
42.980796813964844,dr_265
52.98183059692383,dr_115
52.44992446899414,dr_331
39.71440124511719,dr_422
43.75590515136719,dr_486
64.52205657958984,dr_045
42.737762451171875,dr_386
44.15640640258789,dr_493
38.901466369628906,dr_425
40.10601806640625,dr_401
43.80574035644531,dr_297
51.7408332824707,dr_259
70.88656616210938,dr_321
69.21219635009766,dr_495
69.48963165283203,dr_172
43.96978759765625,dr_347
66.70512390136719,dr_180
40.44706344604492,dr_248
45.048892974853516,dr_114
66.8042221069336,dr_080
67.22393798828125,dr_350
41.10606384277344,dr_164
35.27012252807617,dr_141
40.174766540527344,dr_040
64.5610122680664,dr_178
36.99444580078125,dr_116
40.28104782104492,dr_246
61.74013137817383,dr_221
66.55244445800781,dr_469
67.91093444824219,dr_239
47.79801940917969,dr_108
43.037940979003906,dr_072
67.62284851074219,dr_033
35.80250930786133,dr_169
51.401756286621094,dr_229
40.976863861083984,dr_196
40.23594665527344,dr_298
39.75083923339844,dr_117
39.801700592041016,dr_438
65.22251892089844,dr_354
69.81163024902344,dr_278
45.19142532348633,dr_251
37.45680618286133,dr_393
47.023075103759766,dr_151
46.033992767333984,dr_041
44.28972625732422,dr_421
71.22309875488281,dr_419
45.36655807495117,dr_104
36.776893615722656,dr_499
47.094398498535156,dr_174
71.04534912109375,dr_461
67.82040405273438,dr_306
69.74679565429688,dr_467
67.36824035644531,dr_399
29.059621810913086,dr_093
43.781673431396484,dr_244
50.267452239990234,dr_385
35.385459899902344,dr_442
