end_to_end,file
24.73505210876465,sd_169
84.35736846923828,sd_379
79.25971984863281,sd_254
56.95414733886719,sd_375
81.28752899169922,sd_485
18.888513565063477,sd_158
64.4231185913086,sd_382
34.326866149902344,sd_025
44.6510009765625,sd_422
55.15730285644531,sd_481
75.8915786743164,sd_484
75.19456481933594,sd_475
73.21321868896484,sd_057
50.25114059448242,sd_416
62.508541107177734,sd_029
51.1167106628418,sd_138
29.047683715820312,sd_418
101.5867919921875,sd_334
31.238780975341797,sd_374
94.08475494384766,sd_426
27.288908004760742,sd_081
72.6317367553711,sd_370
74.62198638916016,sd_076
59.575782775878906,sd_071
79.65229034423828,sd_286
47.673526763916016,sd_031
44.66307067871094,sd_125
14.562983512878418,sd_030
69.9838638305664,sd_305
29.9339656829834,sd_012
67.25542449951172,sd_084
15.195772171020508,sd_342
71.09407806396484,sd_449
79.51162719726562,sd_122
21.68889617919922,sd_186
57.73908615112305,sd_232
83.93515014648438,sd_316
22.716468811035156,sd_257
95.39075469970703,sd_045
76.8299560546875,sd_033
17.70115852355957,sd_132
60.484413146972656,sd_468
78.43391418457031,sd_450
75.8065185546875,sd_242
43.14988708496094,sd_269
98.56881713867188,sd_147
91.93928527832031,sd_027
23.487329483032227,sd_472
47.4612922668457,sd_438
56.766658782958984,sd_165
61.852378845214844,sd_301
33.17354965209961,sd_352
77.06025695800781,sd_283
87.63294982910156,sd_406
58.895442962646484,sd_131
54.79855728149414,sd_307
72.81993865966797,sd_204
89.67268371582031,sd_156
61.63594055175781,sd_473
47.821903228759766,sd_194
38.79926300048828,sd_001
64.3379898071289,sd_498
53.305519104003906,sd_435
42.86134338378906,sd_281
61.084259033203125,sd_356
79.51446533203125,sd_179
25.661897659301758,sd_458
83.03805541992188,sd_170
108.01581573486328,sd_064
20.652517318725586,sd_060
33.40684127807617,sd_456
47.08924865722656,sd_145
21.858131408691406,sd_103
72.95751190185547,sd_062
62.930416107177734,sd_110
32.01885986328125,sd_192
43.491615295410156,sd_052
40.211029052734375,sd_244
66.46073913574219,sd_312
25.141998291015625,sd_005
58.15644073486328,sd_489
21.13313865661621,sd_445
68.5165786743164,sd_209
39.21567916870117,sd_224
63.703704833984375,sd_424
55.63911819458008,sd_387
58.14601516723633,sd_366
33.162376403808594,sd_343
58.41075897216797,sd_311
58.98143768310547,sd_173
53.55392074584961,sd_409
56.6129150390625,sd_385
37.8487663269043,sd_127
50.617610931396484,sd_067
67.8151626586914,sd_175
69.20177459716797,sd_230
64.39466857910156,sd_389
